Id,Input_1,Input_2,Input_3,Input_4,Sentence,Answer,No_ordering
1HAJov,1HAJov_jaj.jpg,1HAJov_kjd.jpg,1HAJov_ony.jpg,1HAJov_qac.jpg,"In front of her,there are two large white bowls full of fruit and she begins putting the cut up fruit in those bowls.","[2, 1, 4, 3]",False
Tnsnnd,Tnsnnd_hec.jpg,Tnsnnd_hox.jpg,Tnsnnd_hzt.jpg,Tnsnnd_wcj.jpg,"The knife moves off the stone and exits the frame to the left as the hand withdraws, then the pot tilts forward, pouring milk into the strainer, which moves slightly downward.","[1, 2, 3, 4]",True
iiaV1l,iiaV1l_mxt.jpg,iiaV1l_ocq.jpg,iiaV1l_qio.jpg,iiaV1l_wfg.jpg, The third tuber goes through the rapids.,"[4, 3, 1, 2]",False
meRLks,meRLks_brd.jpg,meRLks_pop.jpg,meRLks_wrp.jpg,meRLks_wwx.jpg, There is another woman wearing white who is demonstrating how to section out her hair and start putting the rollers in the her one by one.,"[1, 2, 3, 4]",True
xARFTh,xARFTh_bpg.jpg,xARFTh_bpv.jpg,xARFTh_mwm.jpg,xARFTh_ycl.jpg,A gymnast is seen standing before a large beam and putting his hands up in the air.,"[1, 2, 3, 4]",True
4saLP0,4saLP0_ddb.jpg,4saLP0_ete.jpg,4saLP0_fyz.jpg,4saLP0_sko.jpg,"The purple bumper car moves forward and right beside the green car, while the blue car turns left and rotates counterclockwise as the cars spread out across the arena.","[4, 1, 3, 2]",False
eFIWhk,eFIWhk_bfb.jpg,eFIWhk_jcy.jpg,eFIWhk_lvw.jpg,eFIWhk_pzt.jpg, The people slide in rafts down the hill.,"[2, 3, 1, 4]",False
tS3xny,tS3xny_amn.jpg,tS3xny_mfo.jpg,tS3xny_sgy.jpg,tS3xny_ztd.jpg,"The dancer sits with one leg raised, then reaches for a colorful bag, opens it, and begins to sort through its contents. Afterward, she continues to organize items inside.","[4, 2, 3, 1]",False
DUIiPa,DUIiPa_ean.jpg,DUIiPa_inj.jpg,DUIiPa_uns.jpg,DUIiPa_vsr.jpg,"The cyclist begins by adjusting the seat, then moves into pedaling with the flywheel, followed by tracking fitness metrics, and finally reaches for a water bottle.","[4, 2, 3, 1]",False
JeupGL,JeupGL_ewx.jpg,JeupGL_iah.jpg,JeupGL_sgn.jpg,JeupGL_zbb.jpg,"Water sprays from a hose onto the plants as a hand moves into the mulch, then the camera shifts from the fire pit to focus on a hand sanitizer bottle in the foreground.","[1, 2, 3, 4]",True
yUEWmo,yUEWmo_lgu.jpg,yUEWmo_nqx.jpg,yUEWmo_oih.jpg,yUEWmo_swb.jpg,"The person transitions from measuring to cutting material on the floor, ensuring pieces are not smaller than half a tile, while the worker shifts from spreading adhesive to placing and securing a tile with a rubber mallet.","[3, 4, 2, 1]",False
N5JOLz,N5JOLz_ayu.jpg,N5JOLz_jru.jpg,N5JOLz_vja.jpg,N5JOLz_xig.jpg, The video is demonstrating how to catch the ball and scoop it up with the stick.,"[3, 2, 4, 1]",False
0drKVI,0drKVI_bca.jpg,0drKVI_buy.jpg,0drKVI_gyw.jpg,0drKVI_xyn.jpg,"The children begin by riding an elephant, then transition to a camel, where they wave happily before the camel moves away, concluding their adventure.","[4, 2, 3, 1]",False
7CUDp7,7CUDp7_ecp.jpg,7CUDp7_nsi.jpg,7CUDp7_qjd.jpg,7CUDp7_xre.jpg, A man shoots at the ball and makes it into the pocket.,"[2, 3, 4, 1]",False
BjPa6V,BjPa6V_fst.jpg,BjPa6V_fxk.jpg,BjPa6V_lhu.jpg,BjPa6V_osb.jpg, The male takes the plate to the sink.,"[1, 2, 4, 3]",False
4GU6H4,4GU6H4_fsa.jpg,4GU6H4_lpj.jpg,4GU6H4_pnq.jpg,4GU6H4_sqf.jpg,"The band forms a tighter formation on the field as the camera zooms out, then a performer twirls in front of the marching band while the conductor raises their arms, leading the musicians in unison.","[4, 3, 1, 2]",False
BOKZvK,BOKZvK_rcj.jpg,BOKZvK_sib.jpg,BOKZvK_soj.jpg,BOKZvK_zpo.jpg," The girl is in a piercing shop, then a man rubs her nose with a tissue and put a mark.","[2, 1, 3, 4]",False
SUGf7E,SUGf7E_fle.jpg,SUGf7E_kuk.jpg,SUGf7E_wnd.jpg,SUGf7E_ybr.jpg,"The girl raises the flute to her mouth, adjusting her hands, while the person combs their hair downward as their head lifts slightly.","[2, 1, 3, 4]",False
RRk1eL,RRk1eL_emx.jpg,RRk1eL_gfr.jpg,RRk1eL_ucm.jpg,RRk1eL_yzo.jpg, the kid then begins swinging his arms and punching.,"[3, 1, 2, 4]",False
g3VR2c,g3VR2c_fkc.jpg,g3VR2c_lsl.jpg,g3VR2c_rhz.jpg,g3VR2c_yoi.jpg,"  The woman rinses the pot off and then turns and holds it up in the air, dripping water, making a scary face, as if she is going to attack the camera man with it, but then turns away from the camera man and toward the sink counter.","[2, 1, 4, 3]",False
5HaTG9,5HaTG9_bwc.jpg,5HaTG9_ona.jpg,5HaTG9_qrd.jpg,5HaTG9_ybh.jpg,"Another girl then walks up and lifts the bar half way,realizes shes incapable and drops it.","[4, 2, 1, 3]",False
PZe0wB,PZe0wB_bej.jpg,PZe0wB_nww.jpg,PZe0wB_rlm.jpg,PZe0wB_tam.jpg,"The scene begins with celery on a table, then transitions to a snowy parking lot where a person approaches a car, followed by her moving closer to it. Finally, she opens the car door.","[3, 1, 2, 4]",False
V2AWtW,V2AWtW_kzr.jpg,V2AWtW_kzt.jpg,V2AWtW_vwc.jpg,V2AWtW_xbp.jpg, The instructor walks over to the targets.,"[2, 4, 3, 1]",False
WElPn6,WElPn6_ahs.jpg,WElPn6_jtj.jpg,WElPn6_qzl.jpg,WElPn6_zky.jpg,"The worker shifts right to continue tiling as the camera pans left, revealing more tiles, then transitions to plastering, smoothing the wall with a trowel, and finishing with a sponge as the camera captures the complete surface.","[1, 3, 2, 4]",False
RHSeaA,RHSeaA_lkv.jpg,RHSeaA_ntk.jpg,RHSeaA_uur.jpg,RHSeaA_vmp.jpg,"The camera zooms in as players with balls move closer to the gym's center; then, in a racquetball court, one player moves right towards the back wall while the other shifts left, with a slight camera angle change.","[1, 3, 2, 4]",False
BgWuPm,BgWuPm_onk.jpg,BgWuPm_psi.jpg,BgWuPm_sgi.jpg,BgWuPm_xmu.jpg,"A Christmas tree is decorated with lights and ornaments as children gather around it; then, another tree is set up with children helping, and a girl joyfully twirls in front of the illuminated tree.","[1, 2, 3, 4]",True
TR1DJA,TR1DJA_fui.jpg,TR1DJA_tht.jpg,TR1DJA_tjz.jpg,TR1DJA_wyx.jpg,"The tire rotates slightly as glue is applied to the marked area, then a tool is twisted counter-clockwise and moves closer to the center as the camera zooms in.","[4, 1, 3, 2]",False
mHO4Dm,mHO4Dm_svv.jpg,mHO4Dm_vvj.jpg,mHO4Dm_xgo.jpg,mHO4Dm_zqp.jpg,"A de-icing product is selected from a store shelf and held by a presenter outside near snow-covered cars; then, snow is brushed from a car's roof to the hood, gradually revealing more of the vehicle's surface.","[1, 2, 3, 4]",True
1nsx03,1nsx03_kkv.jpg,1nsx03_mcy.jpg,1nsx03_ojn.jpg,1nsx03_zvz.jpg,"The hands rotate the device slightly and apply nail polish, then a disk is placed aside; a metal piece moves from being held to resting on a wooden base as a tool approaches.","[3, 1, 4, 2]",False
oVLDjs,oVLDjs_krz.jpg,oVLDjs_mll.jpg,oVLDjs_nfd.jpg,oVLDjs_owe.jpg,"A person finishes wrapping a gift and places it among other presents on a table, then the camera pans left to reveal a man decorating a Christmas tree with lights as two children enter from the right to add ornaments.","[4, 1, 3, 2]",False
ITdrPQ,ITdrPQ_duk.jpg,ITdrPQ_jdu.jpg,ITdrPQ_toz.jpg,ITdrPQ_xle.jpg, A man opens a bottle and puts toothpaste on it.,"[1, 2, 3, 4]",True
Hzummu,Hzummu_amf.jpg,Hzummu_cuf.jpg,Hzummu_lzl.jpg,Hzummu_rar.jpg,"The musicians sit under red lighting as the spotlight shifts slightly right, then a solo musician moves upward and leans forward, playing expressively as the camera zooms in slightly.","[1, 2, 3, 4]",True
2Fl6dS,2Fl6dS_ewe.jpg,2Fl6dS_lji.jpg,2Fl6dS_nyo.jpg,2Fl6dS_sgd.jpg,"Cream and herbs cover the sautéed meat and mushrooms as the camera zooms in, then the bowl of mixed ingredients transitions to a plate of cookies, which becomes central with text appearing above.","[4, 3, 1, 2]",False
gl7dE7,gl7dE7_evq.jpg,gl7dE7_krt.jpg,gl7dE7_wmw.jpg,gl7dE7_wrk.jpg,"A gymnast begins to flip in the air, then lands on the mat, while another person sits nearby. Afterward, the scene shifts to a different gymnast preparing to perform.","[1, 4, 3, 2]",False
s1dZbP,s1dZbP_gee.jpg,s1dZbP_uus.jpg,s1dZbP_vjj.jpg,s1dZbP_wpu.jpg,"The gymnast shifts forward on the beam with raised arms, then jumps off as another gymnast approaches from the right.","[1, 3, 4, 2]",False
5ppUpw,5ppUpw_bqm.jpg,5ppUpw_xca.jpg,5ppUpw_zkv.jpg,5ppUpw_zzz.jpg, They bend their backs to lower themselves down as the continue to hula hoop.,"[1, 3, 2, 4]",False
1M1dtb,1M1dtb_bnf.jpg,1M1dtb_imh.jpg,1M1dtb_opl.jpg,1M1dtb_ywb.jpg, The woman twists the ends of the cellophane and tapes the package shut.,"[3, 1, 2, 4]",False
Ohl4Ty,Ohl4Ty_bbl.jpg,Ohl4Ty_dil.jpg,Ohl4Ty_fpo.jpg,Ohl4Ty_rsy.jpg, They are carrying their raft and get into a van.,"[3, 4, 1, 2]",False
8QB3B6,8QB3B6_ape.jpg,8QB3B6_bpv.jpg,8QB3B6_qvg.jpg,8QB3B6_zmn.jpg,"The athlete lifts the barbell to waist height as the coach gestures, then the person squats under the barbell while a resistance band is added around them as the trainer approaches from the right.","[3, 4, 1, 2]",False
Yy3MUI,Yy3MUI_baj.jpg,Yy3MUI_fgq.jpg,Yy3MUI_qfo.jpg,Yy3MUI_sqm.jpg,"The artist's painting is replaced by text on a blue background, then the performer runs across the stage, lowering toward the floor, as the camera remains stationary.","[1, 2, 4, 3]",False
5pjowI,5pjowI_ebs.jpg,5pjowI_sri.jpg,5pjowI_yqs.jpg,5pjowI_ztz.jpg, The cars crash into each other.,"[2, 4, 1, 3]",False
2TduU9,2TduU9_abz.jpg,2TduU9_bhc.jpg,2TduU9_hhy.jpg,2TduU9_oll.jpg,"The woman secures the braid at the back of her head, then another person brushes their long hair, focusing on a section as the camera slightly zooms in.","[1, 2, 3, 4]",True
fGrxja,fGrxja_fpz.jpg,fGrxja_pln.jpg,fGrxja_xvk.jpg,fGrxja_zxh.jpg,"The man on the left approaches the roses to prune them while the other man turns slightly away, then the scene shifts to a person using a leaf blower, with the camera zooming in on the leaves.","[2, 3, 4, 1]",False
wdCE20,wdCE20_sqw.jpg,wdCE20_sri.jpg,wdCE20_szs.jpg,wdCE20_zku.jpg,"The cake transitions from being frosted to having green fondant rolled over it as the camera tilts downward, then the tool moves from a close-up on the ceiling to being held overhead by the person as the camera zooms out.","[3, 2, 4, 1]",False
pyP9P5,pyP9P5_ish.jpg,pyP9P5_mqz.jpg,pyP9P5_seu.jpg,pyP9P5_ulg.jpg,"The camera zooms out to reveal chefs preparing food together around the pans, then shifts to a chef spreading a mixture flat on a cooking surface with a spatula, preparing to serve the dish.","[4, 3, 2, 1]",False
UPPc0n,UPPc0n_dvb.jpg,UPPc0n_rdn.jpg,UPPc0n_tnx.jpg,UPPc0n_uzj.jpg,"The woman pulls her hair into a ponytail and begins braiding while looking at the camera, then the person raises their hand to gather hair at the back, twisting it while looking down.","[3, 2, 1, 4]",False
kbxeEZ,kbxeEZ_btn.jpg,kbxeEZ_cdx.jpg,kbxeEZ_gla.jpg,kbxeEZ_yvv.jpg,A young woman is seen speaking to the camera and leads into her showing off her hair then tying it into a ponytail.,"[3, 1, 4, 2]",False
gvREQm,gvREQm_hgr.jpg,gvREQm_vav.jpg,gvREQm_vkp.jpg,gvREQm_zes.jpg,"The bartender approaches with a bottle as the empty glass moves left; then, the camera zooms in on the raspberry lemonade bottle while the ice-filled glass shifts slightly left and fills with pink liquid.","[1, 4, 3, 2]",False
DGn8G8,DGn8G8_iht.jpg,DGn8G8_qmo.jpg,DGn8G8_sse.jpg,DGn8G8_xes.jpg,"The worker begins by cutting a strip, then two men paint the ceiling, followed by a close-up of rolling the textured wallpaper, and finally, a website showcasing Lincrusta products appears.","[4, 2, 1, 3]",False
EWGRAO,EWGRAO_pdf.jpg,EWGRAO_sxu.jpg,EWGRAO_wvi.jpg,EWGRAO_xxs.jpg,"The braid is extended to the right as the camera zooms out, revealing more background, then hands approach from the left to add sections to the braid.","[2, 1, 4, 3]",False
pdhpH9,pdhpH9_dhs.jpg,pdhpH9_hbs.jpg,pdhpH9_vij.jpg,pdhpH9_zie.jpg,"Water splashes up as the rider begins to emerge from the water, then moves into a more upright position, smiling as he gains speed across the surface.","[2, 4, 3, 1]",False
ZGZv0D,ZGZv0D_ake.jpg,ZGZv0D_kur.jpg,ZGZv0D_lau.jpg,ZGZv0D_obv.jpg,"The video transitions from a warning about jack safety to advice on using a torque wrench, then a vacuum enters from the left as the camera zooms out, revealing a woman vacuuming around a coffee table in a living room.","[2, 4, 3, 1]",False
VLCYMp,VLCYMp_daf.jpg,VLCYMp_fju.jpg,VLCYMp_pob.jpg,VLCYMp_qjo.jpg,"In a gymnasium, a group is gathered in Canandaigua, transitioning to a black screen with a message about video visibility, then a performer runs across a stage before gracefully lowering herself towards the floor.","[1, 2, 4, 3]",False
e0VWF9,e0VWF9_evh.jpg,e0VWF9_hdp.jpg,e0VWF9_zgo.jpg,e0VWF9_znq.jpg,"The woman in blue sits on her knees as the woman in black gestures, then she begins to lean forward while the woman in black continues to speak.","[1, 3, 2, 4]",False
ZY1o8S,ZY1o8S_cew.jpg,ZY1o8S_lbx.jpg,ZY1o8S_wlk.jpg,ZY1o8S_xpq.jpg,"The group begins to jump in unison, then one member starts skipping rope while others prepare to jump. They continue their routine, showcasing synchronized movements throughout.","[3, 4, 2, 1]",False
P7eWjf,P7eWjf_fay.jpg,P7eWjf_hea.jpg,P7eWjf_kmk.jpg,P7eWjf_skp.jpg, A woman runs down the track.,"[2, 3, 4, 1]",False
A2fPL4,A2fPL4_iom.jpg,A2fPL4_nnt.jpg,A2fPL4_qsi.jpg,A2fPL4_zgg.jpg,"As he throws his lasso,he misses the cow and runs to get something before going back to the cow.","[1, 4, 3, 2]",False
npYE7U,npYE7U_fbt.jpg,npYE7U_lxx.jpg,npYE7U_mcs.jpg,npYE7U_nrf.jpg,"The timer advances from 0.00 to 8.21 seconds as the solver transitions from a 2x2 to a 5x5 cube; then, the camera pans slightly right from a green substance on a metal edge to an iron on a ski base.","[3, 1, 4, 2]",False
EGa8pO,EGa8pO_etb.jpg,EGa8pO_oyg.jpg,EGa8pO_uub.jpg,EGa8pO_ztx.jpg,"The person transitions from swimming in the water to floating in a tube, then the group paddles energetically into rough waters, raising their paddles as the camera slightly zooms in on their journey through the rapids.","[4, 2, 3, 1]",False
1wWqpI,1wWqpI_csh.jpg,1wWqpI_geh.jpg,1wWqpI_miw.jpg,1wWqpI_obt.jpg,"The group skis across the water, moving slightly right as the camera zooms out, then a wakeboarder is joined by another on the left, with the camera panning slightly left to capture both riders gliding forward.","[4, 2, 1, 3]",False
jYb8fF,jYb8fF_ocr.jpg,jYb8fF_rhq.jpg,jYb8fF_rkk.jpg,jYb8fF_sin.jpg,"The gymnast transitions from a handstand to a seated position on the balance beam as the camera zooms in, then shifts to an athlete preparing to throw, concluding with a close-up of flags fluttering against the sky.","[4, 2, 3, 1]",False
Cce6WP,Cce6WP_cmn.jpg,Cce6WP_dxs.jpg,Cce6WP_kwn.jpg,Cce6WP_uhd.jpg, More ingredients are added to the pot.,"[4, 1, 3, 2]",False
xCR3Yt,xCR3Yt_ahh.jpg,xCR3Yt_hyd.jpg,xCR3Yt_nsh.jpg,xCR3Yt_omr.jpg,"The man kneels and pulls the cable handle towards himself while the woman observes, then another person kneels, pulls the resistance band back, raises their arm, and lowers it, stretching the band upwards.","[3, 2, 1, 4]",False
BrCx9y,BrCx9y_bmw.jpg,BrCx9y_euz.jpg,BrCx9y_kds.jpg,BrCx9y_kzj.jpg,"The worker leans forward, picking up the mallet to secure tiles on the floor, then another man lowers a tile onto the wall and shifts right to focus on a new section, adjusting his position as he works.","[2, 1, 3, 4]",False
9Wdb8m,9Wdb8m_gtd.jpg,9Wdb8m_ibi.jpg,9Wdb8m_pcn.jpg,9Wdb8m_tre.jpg,"The hunter moves left, raising a bow as the camera zooms out to reveal a deer, then transitions to skiers shifting from a lift to skiing downhill as the camera tilts downward.","[1, 2, 3, 4]",True
sBygKu,sBygKu_cce.jpg,sBygKu_jng.jpg,sBygKu_ktp.jpg,sBygKu_wko.jpg,"The blue arrow text fades to reveal a close-up of hands mixing vibrant paints on a palette, then the view shifts to an orange painting where a brush moves left to center, refining highlights and shading.","[1, 3, 2, 4]",False
1XrlBZ,1XrlBZ_ivp.jpg,1XrlBZ_mce.jpg,1XrlBZ_nhz.jpg,1XrlBZ_rzv.jpg,"A boy reacts excitedly as another points at him, then the camera pans to another boy throwing a bowling ball; subsequently, a bowler lifts the ball, steps forward, and releases it down the lane.","[1, 4, 2, 3]",False
LFNzTz,LFNzTz_bdr.jpg,LFNzTz_jnv.jpg,LFNzTz_nek.jpg,LFNzTz_wej.jpg,"The individual begins in a plank position, then transitions to a side plank, raises their torso, and finally holds a more elevated side plank position.","[3, 4, 2, 1]",False
X0hmzf,X0hmzf_eew.jpg,X0hmzf_qfi.jpg,X0hmzf_sgi.jpg,X0hmzf_xql.jpg,"The women in pink and purple lift hula hoops to waist level, starting to hula hoop, as the camera shifts to an athlete moving rightward, approaching the pole vault area, followed by a slight camera pan right.","[3, 4, 1, 2]",False
xzafuh,xzafuh_amj.jpg,xzafuh_gty.jpg,xzafuh_mro.jpg,xzafuh_woy.jpg, The kids continue pulling with adult's help and then cheer in the end.,"[2, 4, 3, 1]",False
JiYmmI,JiYmmI_cky.jpg,JiYmmI_lea.jpg,JiYmmI_ria.jpg,JiYmmI_spz.jpg,"The chef lifts the knife horizontally as a cake piece appears, then the woman fills a jar with ingredients, layering them before securing it with a lid.","[3, 1, 4, 2]",False
60TtB7,60TtB7_eis.jpg,60TtB7_tkh.jpg,60TtB7_vnu.jpg,60TtB7_xql.jpg,"  A man, wearing glasses, talks into the camera in a close up shot before the camera pans to a woman seated in a soft chair and focuses on her upper arm.","[2, 4, 1, 3]",False
GVmHA0,GVmHA0_cbe.jpg,GVmHA0_eaa.jpg,GVmHA0_wzh.jpg,GVmHA0_ypu.jpg,"A person performs a handstand, then the screen transitions to text indicating there will be more, followed by a dedication, and finally concludes with ""FIN.""","[1, 4, 2, 3]",False
mJaOzL,mJaOzL_dns.jpg,mJaOzL_evp.jpg,mJaOzL_poj.jpg,mJaOzL_tmb.jpg,"A person uses a leaf blower to move leaves, then the camera pans to show the cleared area, followed by a close-up of the leaves, and finally returns to the yard view.","[4, 2, 1, 3]",False
oBxcCo,oBxcCo_fqr.jpg,oBxcCo_huz.jpg,oBxcCo_wdp.jpg,oBxcCo_zde.jpg," Then, the boy rinse his mouth and then show teeth and dry mouth.","[2, 4, 1, 3]",False
TZ2X4W,TZ2X4W_lue.jpg,TZ2X4W_njf.jpg,TZ2X4W_vdd.jpg,TZ2X4W_zak.jpg,"A player of a read team performs a free shot on front a soccer goal, and the players scores.","[1, 2, 3, 4]",True
vgtS4L,vgtS4L_ali.jpg,vgtS4L_nzn.jpg,vgtS4L_ttq.jpg,vgtS4L_xqa.jpg, The hand began cutting the sides of the cake to make it into rounder.,"[2, 3, 4, 1]",False
JlX3ku,JlX3ku_guh.jpg,JlX3ku_tfd.jpg,JlX3ku_ugf.jpg,JlX3ku_yxz.jpg,"The person transitions from leaning on an exercise ball to kneeling upright on it, then kneels on a blue mat, raising a stick vertically while gesturing with one hand as the camera slightly zooms in.","[1, 4, 3, 2]",False
g93QAq,g93QAq_css.jpg,g93QAq_slu.jpg,g93QAq_upb.jpg,g93QAq_zpm.jpg,"The diver transfers the tool from left to right hand, securing the pool cover, then moves from exploring a sunken ship to swimming through coral, shifting forward and slightly upward.","[3, 2, 1, 4]",False
UflgxE,UflgxE_imy.jpg,UflgxE_jpe.jpg,UflgxE_kxn.jpg,UflgxE_ror.jpg,"Boiling pasta exits as flour is added to sautéed onions with a downward camera tilt, then pasta moves from a pot to a seafood plate with a camera zoom-in.","[1, 3, 2, 4]",False
bzpMvl,bzpMvl_hhv.jpg,bzpMvl_hjr.jpg,bzpMvl_mrj.jpg,bzpMvl_qfw.jpg,A woman is seen sitting in a wheelchair looking to the camera and wheels herself over to a side.,"[4, 1, 3, 2]",False
rbiVGO,rbiVGO_cwm.jpg,rbiVGO_gye.jpg,rbiVGO_jux.jpg,rbiVGO_omb.jpg,"The athlete stands at the starting line before running towards the jump area where the crowd celebrates, then lands from her jump, moving slightly right as the camera zooms in on her.","[3, 4, 2, 1]",False
XJ4Wot,XJ4Wot_eit.jpg,XJ4Wot_hzv.jpg,XJ4Wot_oug.jpg,XJ4Wot_vqe.jpg,"The person begins to style hair, then smiles at the camera while the other person sprays something in their hair, and finally, the camera zooms in on their face.","[4, 2, 1, 3]",False
5vDHST,5vDHST_euj.jpg,5vDHST_ilk.jpg,5vDHST_iwy.jpg,5vDHST_jzl.jpg,"The person swims and then floats in a tube through rapids, as the kayaker navigates turbulent water with the camera tilting upward slightly.","[4, 3, 2, 1]",False
5YhDTx,5YhDTx_dni.jpg,5YhDTx_gqb.jpg,5YhDTx_mui.jpg,5YhDTx_rwj.jpg,"The person in the white hoodie raises the bat, then swings at the pumpkin piñata as it hangs from the tree, while the other person prepares to assist. The scene captures the playful anticipation of the hit.","[1, 2, 3, 4]",True
AyANiO,AyANiO_byp.jpg,AyANiO_foq.jpg,AyANiO_vtk.jpg,AyANiO_wfm.jpg,"The boy and girl that were previous stuck get unstuck, then they drive straight into another wall while the girl yells at the little boy and he cries.","[2, 4, 1, 3]",False
OvEWtg,OvEWtg_ant.jpg,OvEWtg_bcx.jpg,OvEWtg_hog.jpg,OvEWtg_wnk.jpg,"The skiers exit the lift and glide onto the snow as the camera tilts down, then a skier moves from a wide slope into a narrower, tree-lined trail with the camera steady.","[4, 3, 1, 2]",False
bZcSU5,bZcSU5_gsa.jpg,bZcSU5_jyk.jpg,bZcSU5_opu.jpg,bZcSU5_qcs.jpg,"The riders leave the stable and move into a forest path as dust rises, then the skier navigates a snowy trail through trees before descending a wide slope with other skiers visible ahead.","[2, 3, 4, 1]",False
MeEGIX,MeEGIX_dgo.jpg,MeEGIX_iir.jpg,MeEGIX_jok.jpg,MeEGIX_vni.jpg,"The groomer moves from drying the dog's back to its head, then trims the dog's fur as it transitions from an upright to a sitting position while the camera zooms out slightly.","[1, 3, 2, 4]",False
5rO4hC,5rO4hC_dvt.jpg,5rO4hC_ftp.jpg,5rO4hC_lrc.jpg,5rO4hC_nzr.jpg,"The person covers their eye as their head tilts forward; then, the woman lowers her head, raises her hands excitedly, and sits with a big smile as the camera tilts down slightly.","[4, 1, 3, 2]",False
8SovV7,8SovV7_bhr.jpg,8SovV7_hbi.jpg,8SovV7_nru.jpg,8SovV7_ooj.jpg,"A vibrant cloth on a table vanishes, revealing a director's credit, followed by a dimly lit object fading into a bright ""Thank you for watching"" message.","[2, 4, 1, 3]",False
NWKfDF,NWKfDF_dkk.jpg,NWKfDF_esu.jpg,NWKfDF_grz.jpg,NWKfDF_zhg.jpg,"The skier glides down the snowy slope as the camera pans right to reveal more trees, then continues descending and approaches a chairlift, with the camera capturing the expansive snowy landscape.","[2, 1, 4, 3]",False
evh9XZ,evh9XZ_abx.jpg,evh9XZ_gxy.jpg,evh9XZ_imb.jpg,evh9XZ_rsg.jpg, The tins are shown fully cooked and then flipped over to empty cake onto table.,"[1, 2, 3, 4]",True
f0ElYj,f0ElYj_evv.jpg,f0ElYj_kco.jpg,f0ElYj_qjd.jpg,f0ElYj_sbj.jpg,  The first camel group begins walking back to the camera.,"[1, 2, 3, 4]",True
iNkQjH,iNkQjH_eal.jpg,iNkQjH_kod.jpg,iNkQjH_lnw.jpg,iNkQjH_wqg.jpg,A woman is seen outside playing a game of beach volley ball serving it over the net in slow motion.,"[3, 1, 4, 2]",False
ZWpO5L,ZWpO5L_jnu.jpg,ZWpO5L_mey.jpg,ZWpO5L_twm.jpg,ZWpO5L_xdi.jpg,"A magazine cut-out is dipped into a container near a white-polished nail, followed by a brush painting colorful stripes that transition into a cartoon cat shape with a pink body and black outline.","[4, 2, 3, 1]",False
Go6mHe,Go6mHe_gnb.jpg,Go6mHe_hew.jpg,Go6mHe_ite.jpg,Go6mHe_jec.jpg,"The gymnast transitions from an upside-down position to sitting on the beam as the camera tilts down, then exits the frame while the focus shifts to the coach watching intently.","[2, 3, 4, 1]",False
5UzWFe,5UzWFe_isd.jpg,5UzWFe_rmi.jpg,5UzWFe_ttb.jpg,5UzWFe_woc.jpg,A person then picks it up and begins to bend it showing how the object works.,"[4, 1, 2, 3]",False
CWdxOY,CWdxOY_drr.jpg,CWdxOY_oky.jpg,CWdxOY_olp.jpg,CWdxOY_ppc.jpg,"The figure shifts left into a grounded stance with hands together, then a person exits from a handstand as the scene transitions to the text ""FIN.""","[2, 3, 1, 4]",False
4J3m8K,4J3m8K_ajh.jpg,4J3m8K_cwk.jpg,4J3m8K_gyq.jpg,4J3m8K_ume.jpg,"The woman sits in her wheelchair, then a man approaches to assist her, as she raises her foot to put on a shoe, and finally adjusts it comfortably.","[4, 1, 3, 2]",False
YN9Gs5,YN9Gs5_bnw.jpg,YN9Gs5_kzz.jpg,YN9Gs5_ohf.jpg,YN9Gs5_sdb.jpg,"The surfer with a pink helmet exits as the camera pans left to reveal crashing waves, then transitions to a surfer riding a wave, culminating in multiple surfers overlapping in the frame.","[3, 4, 2, 1]",False
9Lbzgz,9Lbzgz_dnt.jpg,9Lbzgz_hkb.jpg,9Lbzgz_lpy.jpg,9Lbzgz_lrq.jpg, the man lassos a cow and throws it to the ground.,"[2, 4, 1, 3]",False
sKwVdf,sKwVdf_cfg.jpg,sKwVdf_muz.jpg,sKwVdf_rda.jpg,sKwVdf_rlk.jpg,A man rides a motorcycle into a parking spot.,"[1, 4, 3, 2]",False
ehRo7d,ehRo7d_jwl.jpg,ehRo7d_lyn.jpg,ehRo7d_ojf.jpg,ehRo7d_opa.jpg,The crowd is shown and the camera goes back to the stage and several lights come on as the guitarist begins to play.,"[2, 4, 1, 3]",False
2pUNfC,2pUNfC_gfl.jpg,2pUNfC_gtc.jpg,2pUNfC_lud.jpg,2pUNfC_ohg.jpg,"The player in gray moves left as the player in black approaches the center, while the skater transitions from sliding on a rail to falling forward as the camera tilts down slightly.","[3, 1, 2, 4]",False
V6lQEU,V6lQEU_jon.jpg,V6lQEU_kil.jpg,V6lQEU_ual.jpg,V6lQEU_urg.jpg,"The groomer moves the clipper from the dog's neck to its back, then shifts to brushing its coat as the camera zooms out, revealing the full view of the dog on the grooming table.","[2, 1, 4, 3]",False
fXmJKH,fXmJKH_aur.jpg,fXmJKH_dyh.jpg,fXmJKH_hfd.jpg,fXmJKH_mmz.jpg, he then flips and throws a Frisbee.,"[2, 1, 3, 4]",False
2I5kAs,2I5kAs_dps.jpg,2I5kAs_gxs.jpg,2I5kAs_ptw.jpg,2I5kAs_xja.jpg, He is using a racquet to hit a ball over a net.,"[3, 1, 2, 4]",False
ZZeWrl,ZZeWrl_dpm.jpg,ZZeWrl_gsn.jpg,ZZeWrl_qqp.jpg,ZZeWrl_xvl.jpg,"The man lowers a log onto the machine, then begins to operate it, moving slightly away as he prepares to split more wood.","[3, 1, 4, 2]",False
