Id,Answer,margin
doGmil,"[1, 4, 2, 3]",4.375
doVteE,"[4, 1, 3, 2]",4.0
e02HGe,"[4, 1, 2, 3]",6.5
e6vLcO,"[2, 1, 4, 3]",4.0625
eCimUi,"[1, 2, 4, 3]",4.875
eEcInl,"[1, 3, 2, 4]",1.75
eHIceq,"[1, 4, 3, 2]",7.375
eJGOuK,"[1, 3, 4, 2]",6.375
eWhkQO,"[4, 2, 1, 3]",0.1875
efbPzU,"[4, 3, 2, 1]",6.0
efus4c,"[1, 2, 4, 3]",9.125
enJCzv,"[3, 4, 2, 1]",6.4375
erLUvZ,"[4, 1, 2, 3]",11.25
f7JwiT,"[3, 1, 4, 2]",5.5625
fKG1HH,"[4, 2, 3, 1]",3.125
fLAtjA,"[1, 2, 3, 4]",7.3125
fTwwl1,"[2, 3, 1, 4]",10.46875
fUOpAZ,"[4, 1, 2, 3]",1.0
fZmPUH,"[3, 2, 4, 1]",16.125
fdwlot,"[2, 3, 4, 1]",5.875
fqJInE,"[1, 4, 3, 2]",1.375
fsVkTT,"[2, 4, 3, 1]",8.125
fu1XH8,"[4, 3, 1, 2]",6.25
fufIXJ,"[2, 3, 4, 1]",1.125
fvarxN,"[4, 3, 1, 2]",11.1875
fyfDKg,"[4, 3, 2, 1]",11.46875
g1MHrL,"[1, 2, 4, 3]",1.8125
g3vDEq,"[3, 4, 2, 1]",13.5
g53WWR,"[2, 4, 3, 1]",5.09375
gDGoeO,"[1, 3, 2, 4]",6.25
gDm9Ns,"[2, 4, 3, 1]",11.71875
gPjx97,"[4, 1, 3, 2]",14.1875
gUNQkT,"[4, 1, 2, 3]",20.15625
gUaeiS,"[1, 2, 3, 4]",5.25
gdVqg4,"[1, 3, 2, 4]",2.25
gjHHbc,"[1, 3, 2, 4]",9.03125
gv6DET,"[3, 2, 4, 1]",2.4375
h2BeGj,"[3, 4, 2, 1]",18.5
hHJkXc,"[4, 2, 1, 3]",1.1875
hNGMqL,"[1, 2, 3, 4]",2.6875
hUAYQe,"[2, 4, 3, 1]",6.0625
heLRt5,"[2, 3, 1, 4]",0.875
hnI3NX,"[1, 2, 4, 3]",6.0625
hxs7rI,"[3, 2, 1, 4]",6.0625
hzsUv1,"[4, 1, 2, 3]",4.1875
iC5t6Y,"[1, 4, 2, 3]",7.75
iCAOJa,"[1, 3, 4, 2]",8.0
iFBorU,"[3, 2, 4, 1]",6.4375
iGVLqN,"[3, 1, 2, 4]",3.25
iIlX3c,"[3, 2, 1, 4]",3.75
iNU1mS,"[1, 2, 3, 4]",15.15625
iNpNbi,"[3, 4, 1, 2]",6.4375
iPHmMY,"[1, 3, 2, 4]",6.625
iaxPKk,"[4, 1, 2, 3]",0.875
ibH32f,"[2, 1, 3, 4]",3.75
iefIZE,"[1, 3, 4, 2]",1.0
ih9BT7,"[2, 4, 1, 3]",3.9375
iizS4w,"[1, 2, 3, 4]",3.625
ikamSu,"[1, 2, 3, 4]",1.5
ipvuxh,"[4, 1, 3, 2]",4.5625
j94TQ6,"[1, 4, 3, 2]",9.6875
jDAJgI,"[3, 4, 2, 1]",12.1875
jJSSVk,"[1, 3, 4, 2]",4.8125
jNzIVt,"[2, 1, 3, 4]",5.0625
jQVCL7,"[3, 2, 1, 4]",1.125
jXEr8N,"[1, 3, 4, 2]",6.1875
jXyZQN,"[4, 2, 1, 3]",3.875
jg8yLv,"[1, 2, 3, 4]",4.75
jgGdOF,"[4, 3, 2, 1]",9.25
jtVqZO,"[3, 4, 1, 2]",2.5625
jtj3Qi,"[1, 4, 2, 3]",3.25
k3FK79,"[4, 1, 2, 3]",16.53125
k5zwWI,"[3, 1, 2, 4]",11.1875
k7h4gt,"[4, 1, 2, 3]",8.84375
kDEAsv,"[1, 3, 4, 2]",6.1875
kF8VjS,"[3, 2, 1, 4]",4.875
kLcjLe,"[3, 2, 4, 1]",5.3125
kMO5fC,"[3, 4, 2, 1]",0.5
kT5Jy8,"[2, 3, 1, 4]",0.125
kTp20a,"[1, 2, 3, 4]",3.25
kb6PX7,"[1, 3, 4, 2]",3.0
khj1uc,"[1, 3, 2, 4]",13.3125
khtCHL,"[2, 3, 1, 4]",2.96875
ko74ge,"[4, 1, 2, 3]",0.375
ksEdcp,"[1, 4, 2, 3]",0.75
kx54E7,"[2, 4, 3, 1]",0.25
l4y7jj,"[1, 2, 3, 4]",5.5625
l52q4w,"[4, 1, 3, 2]",11.875
l89v4Z,"[3, 4, 1, 2]",3.3125
l8zz9E,"[2, 4, 3, 1]",5.9375
l9D5p0,"[1, 2, 3, 4]",1.875
lIHEBo,"[4, 3, 2, 1]",0.3125
lKGJMB,"[2, 4, 1, 3]",1.625
lOOMKU,"[4, 3, 2, 1]",5.4375
lPGKJD,"[2, 1, 4, 3]",0.5
lXcuqN,"[2, 3, 4, 1]",3.999999761581421
lbgewI,"[2, 4, 3, 1]",3.5
ldfemM,"[2, 3, 1, 4]",15.78125
lmOtxf,"[3, 2, 4, 1]",0.875
lqPKEe,"[2, 1, 4, 3]",13.125
lviqqX,"[1, 3, 4, 2]",2.375
m0WLBa,"[1, 4, 2, 3]",7.46875
m2Iqg1,"[1, 3, 4, 2]",7.4375
m2yZRN,"[2, 4, 1, 3]",15.625
m88W8L,"[2, 4, 1, 3]",7.0
mBDCs9,"[2, 4, 1, 3]",6.5
mKZl7m,"[1, 2, 4, 3]",3.875
mVQwC7,"[4, 2, 3, 1]",8.375
mdj5kv,"[4, 3, 2, 1]",4.8125
mi92Px,"[1, 2, 4, 3]",2.25
mjbEPe,"[4, 2, 3, 1]",0.5625
mlLUiS,"[2, 1, 3, 4]",9.625
mvmfF1,"[2, 1, 3, 4]",11.875
myJ5XO,"[4, 2, 1, 3]",0.125
nALyDx,"[2, 4, 3, 1]",6.4375
nJGawl,"[1, 2, 3, 4]",3.625
nKYQFc,"[1, 2, 3, 4]",5.6875
nMFZe4,"[3, 2, 4, 1]",16.46875
nUONEs,"[1, 2, 3, 4]",5.875
nXIQ7U,"[1, 3, 2, 4]",6.3125
ncshcV,"[2, 3, 4, 1]",2.875
neLENZ,"[2, 1, 4, 3]",0.8125
ngGzJY,"[3, 2, 4, 1]",9.8125
ngmAzx,"[3, 4, 1, 2]",9.40625
nlBOeB,"[4, 2, 1, 3]",13.84375
nnzGGE,"[1, 2, 3, 4]",5.6875
nrdu1T,"[3, 2, 4, 1]",7.3125
ntrW0Z,"[1, 3, 2, 4]",9.37500011920929
nzLplh,"[3, 4, 2, 1]",3.0
o0kimD,"[3, 1, 2, 4]",11.25
o1MynS,"[2, 3, 4, 1]",6.0625
o9t453,"[3, 4, 2, 1]",0.75
oExNcD,"[4, 1, 3, 2]",9.125
oQ3tXb,"[2, 3, 4, 1]",22.375
oSqTf9,"[1, 2, 3, 4]",6.25
oUBpAh,"[3, 4, 1, 2]",4.8125
oaT8t2,"[2, 4, 1, 3]",11.1875
oby2AW,"[3, 4, 1, 2]",16.375
osF5ZB,"[1, 2, 4, 3]",7.3125
ow9iUu,"[1, 2, 4, 3]",11.4375
p7nwf6,"[1, 2, 4, 3]",9.78125
p9M3En,"[4, 3, 2, 1]",6.5
p9sMWs,"[1, 4, 3, 2]",2.8125
pJETr3,"[2, 3, 1, 4]",0.125
pR1lov,"[2, 4, 1, 3]",2.875
pVJTEs,"[4, 3, 2, 1]",10.75
pZLnKL,"[4, 1, 3, 2]",4.8125
peQe6S,"[3, 2, 1, 4]",16.375
pqDB4L,"[1, 2, 3, 4]",6.8125
psRQ5g,"[1, 2, 3, 4]",3.625
q29A35,"[2, 1, 3, 4]",4.875
q9He2q,"[4, 2, 3, 1]",8.625
qFlgOt,"[1, 3, 4, 2]",5.999999940395355
qUglnN,"[3, 1, 2, 4]",7.5
qW4SUI,"[3, 4, 2, 1]",0.75
qWFU9V,"[3, 4, 2, 1]",0.375
qZNmn0,"[1, 3, 4, 2]",21.40625
qc654c,"[3, 4, 2, 1]",10.3125
qkSjok,"[4, 3, 1, 2]",1.6875
qkV9uG,"[1, 4, 2, 3]",2.9375
qy92Ty,"[1, 3, 4, 2]",3.1875
qzdzUs,"[1, 3, 2, 4]",2.5
r1tyTm,"[1, 2, 4, 3]",1.25
r7FeVn,"[4, 2, 3, 1]",7.3125
rBuAQi,"[4, 1, 2, 3]",0.125
rDphjj,"[2, 1, 3, 4]",1.0
rZZj6G,"[3, 4, 2, 1]",18.75
rjAFC8,"[1, 2, 4, 3]",5.75
rlNPMl,"[2, 1, 4, 3]",10.15625
rqxynb,"[2, 4, 1, 3]",1.125
rqzWxL,"[3, 4, 1, 2]",7.4375
rrspy3,"[3, 4, 1, 2]",4.9375
ru6yda,"[2, 3, 4, 1]",16.9375
ryRBAt,"[3, 2, 1, 4]",4.3125
sGGVcz,"[3, 4, 2, 1]",4.875
siZhmn,"[2, 1, 3, 4]",2.875
tCTz3r,"[3, 1, 4, 2]",9.625
tEjoIA,"[1, 2, 3, 4]",0.125
tF6VNu,"[4, 3, 1, 2]",0.0
tISnNm,"[1, 4, 3, 2]",6.0
tIc3rf,"[2, 4, 3, 1]",2.0
tMfEmp,"[3, 2, 4, 1]",5.125
tRqDPl,"[1, 2, 3, 4]",2.3125
tTOg1O,"[3, 4, 2, 1]",1.0
tXatfA,"[2, 3, 4, 1]",7.0
tXkDkD,"[1, 3, 2, 4]",11.75
tcFm2R,"[1, 2, 3, 4]",11.3125
tnDaE6,"[2, 4, 1, 3]",15.5625
tsTiss,"[2, 4, 3, 1]",9.71875
txrN4v,"[1, 3, 4, 2]",6.125
uAVQ46,"[3, 2, 4, 1]",6.5625
uFjfbY,"[3, 2, 4, 1]",13.0
uQE4mF,"[1, 3, 2, 4]",1.375
uSHAE4,"[1, 4, 2, 3]",18.375
uYabeZ,"[2, 1, 3, 4]",2.5625
uZjQQI,"[1, 2, 3, 4]",12.59375
ucfZqi,"[1, 4, 2, 3]",1.0
uq6kpx,"[3, 1, 4, 2]",7.65625
urEt6l,"[2, 4, 3, 1]",8.9375
uyWtdf,"[4, 2, 1, 3]",0.5
v75HyW,"[1, 2, 3, 4]",4.75
v8OJ1q,"[1, 2, 3, 4]",1.5625
vB7BLB,"[1, 2, 3, 4]",12.625
vGBzeo,"[4, 1, 2, 3]",11.5
vIO9v9,"[3, 1, 4, 2]",1.75
vMVwsj,"[4, 1, 3, 2]",0.625
vN8DEE,"[1, 2, 3, 4]",17.9375
vVpiAn,"[4, 2, 3, 1]",6.625
vYc8go,"[2, 4, 3, 1]",16.34375
vbybPn,"[3, 4, 1, 2]",0.5
vh0wEB,"[2, 3, 1, 4]",1.375
w4dbOW,"[2, 3, 1, 4]",5.6875
w4j3St,"[2, 1, 4, 3]",6.0
wDEGbT,"[2, 3, 4, 1]",13.4375
wK1e9B,"[4, 3, 1, 2]",2.5
wTnEOc,"[4, 2, 1, 3]",6.03125
wUBLcm,"[2, 3, 4, 1]",6.5
wVunKR,"[1, 2, 3, 4]",17.625
wXasLQ,"[3, 2, 4, 1]",6.3125
wit5As,"[2, 3, 1, 4]",14.625
wlUSPq,"[2, 4, 3, 1]",3.0
woCNou,"[4, 2, 3, 1]",17.0625
wpWgJC,"[2, 4, 3, 1]",1.125
wrwRzC,"[1, 4, 3, 2]",9.625
wxicbs,"[2, 3, 4, 1]",6.625
wyEJ3l,"[4, 3, 2, 1]",3.4375
x7R19Q,"[1, 3, 4, 2]",8.625
x7RoJh,"[2, 1, 3, 4]",6.25
x7qL3f,"[1, 4, 3, 2]",2.375
xBt8lj,"[3, 1, 2, 4]",14.0625
xSCukT,"[1, 3, 4, 2]",5.375
xa8KF5,"[3, 1, 4, 2]",11.5
xc5dI6,"[4, 2, 1, 3]",2.9375
xhTETe,"[3, 4, 1, 2]",0.875
xhhhpg,"[3, 4, 1, 2]",0.625
xhlDes,"[1, 2, 4, 3]",1.875
y2IdZO,"[4, 3, 2, 1]",2.125
y2RAI8,"[2, 3, 4, 1]",3.375
yAWSfv,"[1, 4, 3, 2]",1.65625
yAwmc0,"[4, 2, 3, 1]",3.75
yHzXd8,"[1, 3, 2, 4]",0.75
yK3yDt,"[4, 1, 2, 3]",8.125
yRN9JF,"[2, 1, 4, 3]",0.625
yUGgq3,"[4, 3, 1, 2]",5.1875
yb9NII,"[2, 4, 3, 1]",6.75
ybGJDQ,"[1, 3, 4, 2]",10.40625
yg5f5w,"[4, 1, 2, 3]",5.4375
yiYiRW,"[4, 2, 3, 1]",3.375
yngW1f,"[4, 2, 1, 3]",1.375
ynzxgr,"[3, 1, 2, 4]",1.75
yqWbVb,"[1, 3, 2, 4]",0.375
yr2lQd,"[1, 2, 3, 4]",5.875
yvDfXh,"[2, 1, 3, 4]",21.0625
yx3vew,"[4, 3, 2, 1]",0.5625
zAWJ1G,"[1, 4, 2, 3]",9.3125
zIRhAf,"[3, 2, 1, 4]",9.375
zKUwmQ,"[4, 3, 2, 1]",5.3125
zMkfAB,"[4, 3, 1, 2]",6.5
zPNSKW,"[2, 1, 3, 4]",9.375
zVUWuP,"[2, 1, 4, 3]",2.5625
zftnD9,"[1, 2, 4, 3]",8.0625
zgpRfv,"[1, 2, 3, 4]",11.125
zjFnbl,"[3, 1, 4, 2]",1.6875
zrwNy9,"[4, 2, 1, 3]",13.0
zsJWpm,"[3, 4, 1, 2]",5.25
ztfQoL,"[2, 3, 1, 4]",1.625
zx0vvI,"[3, 4, 1, 2]",5.0
